gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
     41     1                   C41  cyclic — skip
     42     1               C7 : C6  no
     42     2        C2 x (C7 : C3)  no
     42     3               C7 x S3  no
     42     4              C3 x D14  no
     42     5                   D42  no
     42     6                   C42  cyclic — skip
     43     1                   C43  cyclic — skip
     44     1              C11 : C4  no
     44     2                   C44  cyclic — skip
     44     3                   D44  YES
     44     4              C22 x C2  YES
     45     1                   C45  cyclic — skip
     45     2              C15 x C3  YES
     46     1                   D46  no
     46     2                   C46  cyclic — skip
     47     1                   C47  cyclic — skip
     48     1              C3 : C16  no
     48     2                   C48  cyclic — skip
     48     3        (C4 x C4) : C3  no
     48     4               C8 x S3  YES
     48     5              C24 : C2  YES
     48     6              C24 : C2  YES
     48     7                   D48  YES
     48     8              C3 : Q16  YES
     48     9        C2 x (C3 : C8)  YES
     48    10        (C3 : C8) : C2  YES
     48    11        C4 x (C3 : C4)  YES
     48    12        (C3 : C4) : C4  YES
     48    13              C12 : C4  YES
     48    14       (C12 x C2) : C2  YES
     48    15        (C3 x D8) : C2  YES
     48    16        (C3 : Q8) : C2  YES
     48    17        (C3 x Q8) : C2  YES
     48    18              C3 : Q16  YES
     48    19        (C6 x C2) : C4  YES
     48    20              C12 x C4  YES
     48    21  C3 x ((C4 x C2) : C2)  YES
     48    22        C3 x (C4 : C4)  YES
     48    23              C24 x C2  YES
     48    24        C3 x (C8 : C2)  YES
     48    25              C3 x D16  YES
     48    26             C3 x QD16  YES
     48    27              C3 x Q16  YES
     48    28  C2 . S4 = SL(2,3) . C2  no
     48    29               GL(2,3)  no
     48    30               A4 : C4  no
     48    31               C4 x A4  no
     48    32          C2 x SL(2,3)  no
     48    33  ((C4 x C2) : C2) : C3  no
     48    34        C2 x (C3 : Q8)  YES
     48    35          C2 x C4 x S3  YES
     48    36              C2 x D24  YES
     48    37       (C12 x C2) : C2  YES
     48    38               D8 x S3  YES
     48    39        (C4 x S3) : C2  YES
     48    40               Q8 x S3  YES
     48    41        (C4 x S3) : C2  YES
     48    42   C2 x C2 x (C3 : C4)  YES
     48    43  C2 x ((C6 x C2) : C2)  YES
     48    44         C12 x C2 x C2  YES
     48    45               C6 x D8  YES
     48    46               C6 x Q8  YES
